customer_id,name,city,account_type
1,Customer_1,Chennai,Savings
2,Customer_2,Bengaluru,Current
3,Customer_3,Mumbai,Savings
4,Customer_4,Mumbai,Savings
5,Customer_5,Chennai,Savings
6,Customer_6,Hyderabad,Current
7,Customer_7,Bengaluru,Savings
8,Customer_8,Bengaluru,Savings
9,Customer_9,Mumbai,Savings
10,Customer_10,Hyderabad,Savings
11,Customer_11,Chennai,Current
12,Customer_12,Mumbai,Current
13,Customer_13,Hyderabad,Current
14,Customer_14,Bengaluru,Savings
15,Customer_15,Chennai,Current
16,Customer_16,Delhi,Current
17,Customer_17,Mumbai,Savings
18,Customer_18,Delhi,Savings
19,Customer_19,Bengaluru,Current
20,Customer_20,Bengaluru,Current
